Queue Name,Printer Name,Printer Model,Price,Color,DPI,Duplex,Location
cit-mannlab-3c,CIT MannLab Net-Print 3c,Xerox Phaser 8560DT,25.00,Color,600.00,Two-sided,Mann Library
ciw1,CIW Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
ciw2,CIW Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
cook-nprint1,Alice Cook House Net-Print1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,Alice Cook House
csmenglab,CS MEng Lab,Xerox ColorQube 8870,25.00,Color,600.00,Two-sided,
devsoc-cardi,Acad Surge B CaRDI,HP Color LaserJet CP4525DN,25.00,Color,600.00,Two-sided,
devsoc-grad,DevSocGrad HP BW,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
devsocgradp4,Warren DevSoc Grad Net-Print 4,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
dss-mps-lab1,Malott MPS Lab Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,Malott Hall
engr-lib1,ENGINEERING Library Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
engr-lib2c,ENGINEERING Library Net-Print 2 Color,Xerox ColorQube 8570,25.00,Color,600.00,Two-sided,
engr-lib3d,ENGINEERING Library Net-Print 3 Duplex,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
fine-lib1,FINE Arts Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
fine-lib2c,FINE Arts Library Net-Print 2 Color,HP Color LaserJet M651,25.00,Color,600.00,Two-sided,
gs1,Goldwin Smith Net-Print 1,Xerox Phaser 4510DT,7.00,B/W,600.00,Two-sided,Goldwin Smith Hall
gs2,Goldwin Smith Net-Print 2,Xerox Phaser 4510DT,7.00,B/W,600.00,Two-sided,Goldwin Smith Hall
gs3,Goldwin Smith Net-Print 3,HP LaserJet P3010 Series,7.00,B/W,600.00,Two-sided,Goldwin Smith Hall
he-cad-4214-b1,HE CAD 4214 BW,HP LaserJet 700 M712,10.00,B/W,600.00,Two-sided,
he-cad-4214-c1,HE CAD 4214 Color,HP Color LaserJet M750,30.00,Color,600.00,Two-sided,
he-cad-t16-b1,HE CAD T16 BW,HP LaserJet 5200,10.00,B/W,600.00,Two-sided,
he-cad-t16-b2,HE CAD T16 BW Xerox,Xerox Phaser 5500N,10.00,B/W,600.00,One-sided,
he-cad-t16-c1,HE CAD T16 Color,hp color LaserJet 4650,30.00,Color,600.00,Two-sided,
he-cad-t16-c2,HE CAD T16 Color 2,HP Color LaserJet M750,30.00,Color,600.00,Two-sided,
hollister1,HOLLISTER Net-Print 1,HP LaserJet P3010 Series,8.00,B/W,600.00,Two-sided,
hollister2c,HOLLISTER Net-Print 2 Color,HP Color LaserJet CP4525DN,25.00,Color,600.00,Two-sided,
house5,Flora Rose Net-Print 1,HP LaserJet P3010 Series,10.00,B/W,600.00,Two-sided,
ilr-lab1,ILR Net-Print Main Lab,HP LaserJet 600 M601 M602 M603,6.00,B/W,600.00,Two-sided,
ilr-lab2,ILR Net-Print Classroom,HP LaserJet 600 M601 M602 M603,6.00,B/W,600.00,Two-sided,
keeton-nprint1,William Keeton House Net-Print 1,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
kroch-lib1,KROCH Library Asia RR Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
lacolor1,LANDARCH Net-Print Color 1,hp color LaserJet 5500d,30.00,Color,600.00,Two-sided,
laplotter1,LANDARCH Net-Print Plotter 1,HP Designjet Z6200 42in,1000.00,Color,1200.00,One-sided,
laplotter2,LANDARCH Net-Print Plotter 2,HP Designjet Z6200 42in,1000.00,Color,1200.00,One-sided,
laprinter2,LANDARCH Net-Print 2,HP LaserJet 5200,10.00,B/W,600.00,One-sided,
law-lib1,LAW Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
lrc1,Noyes Lodge Net-Print 1,HP LaserJet P3005,9.00,B/W,600.00,Two-sided,
mann-bsmt-10c,MANN Basement Net-Print 10 Color Lg,Xerox Phaser 7400DN,60.00,Color,600.00,Two-sided,
mann-bsmt-8,MANN Basement Net-Print 8,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
mann-bsmt-9c,MANN Basement Net-Print 9 Color,Xerox Phaser 8560DX,25.00,Color,600.00,Two-sided,
mann1,MANN Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
mann2,MANN Net-Print 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
mann3,MANN Net-Print 3,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
mann4,MANN Net-Print 4,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
mann5color,Mann Net-Print 5 Color,HP Color LaserJet CP4525DN,25.00,Color,600.00,Two-sided,
math-lib2,MATH Library Net-Print 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
math-lib3c,MATH Library Net-Print 3 Color,HP Color LaserJet CP4525DN,25.00,Color,600.00,Two-sided,
mcfaddin1,MCFADDIN Net-Print 1,Xerox Phaser 4500DT,9.00,B/W,600.00,Two-sided,
mcfaddin2,MCFADDIN Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
morrison-1,Morrison 1,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
mpslab,MPS Lab NetPrint,HP LaserJet 500 color M551,25.00,Color,600.00,Two-sided,
mseugrad,MS&E Net-Print,Xerox Phaser 4510DT,8.00,B/W,600.00,Two-sided,
mth-372,MTH Computer Lab Room 372,HP LaserJet P4515D,9.00,B/W,600.00,Two-sided,
mth-373,MTH Computer Lab Room 373,HP LaserJet P4515D,9.00,B/W,600.00,Two-sided,
mth-374,MTH Computer Lab Room 374,HP LaserJet P4515D,9.00,B/W,600.00,Two-sided,
mth-375,MTH Computer Lab Room 375,HP LaserJet P4515D,9.00,B/W,600.00,Two-sided,
mth-color,MTH Computer Lab Color,HP Color LaserJet CP3525,30.00,Color,600.00,Two-sided,
mth-ilj,ILJ,Xerox Phaser 4500DT,9.00,B/W,600.00,Two-sided,
mth-jlpp,Myron Tayler Hall NetPrint JLPP rm 271,HP LaserJet 4100 Series,9.00,B/W,600.00,One-sided,
mth-lawreview,Law Review,Xerox Phaser 4500DT,9.00,B/W,600.00,Two-sided,
mth-mootcourt,MTH Moot Court,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
mth-studentorg,Myron Taylor Student Org,HP LaserJet 4100 Series,9.00,B/W,600.00,One-sided,
music-lib1,MUSIC Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
nytech-netprnt1,NY Tech Net-Print 1,Xerox ColorQube 8870,10.00,Color,600.00,Two-sided,
nytech-netprnt2,NY Tech Net-Print 2,Xerox ColorQube 8570,10.00,Color,600.00,Two-sided,
olin-lib1,OLIN Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
olin-lib2,OLIN Library Net-Print 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
olin-lib3,OLIN Library Net-Print 3,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
olin-lib4,OLIN Library Net-Print 4,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
olin-lib5c,OLIN Library Net-Print 5 Color,HP Color LaserJet CP4525DN,25.00,Color,600.00,Two-sided,
olin-lib6,OLIN Library Media Center Net-Print 6,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
olin-lib7,OLIN Library Graduate Study Net-Print 7,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
orie-netprint1,ORIE Net-Print 1 RH471,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
orie-netprint2,ORIE Net-Print 2 RH453,hp LaserJet 4240,9.00,B/W,600.00,One-sided,
orie-netprint3,ORIE Net-Print 3 RH421,Xerox Phaser 4510N,9.00,B/W,600.00,One-sided,
phillips-318-1,Phillips 318 Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
phillips-318-2,Phillips 318 Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
phillips-318-3c,Phillips 318 Net-Print 3c,Xerox Phaser 8560DT,25.00,Color,600.00,Two-sided,
physci-lib1,PHYSCI Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
rhodes163-lp1,Swanson - HP M551,HP LaserJet 500 color M551,25.00,Color,600.00,Two-sided,
rhodes163-lp2,Swanson Phaser 4500,Xerox Phaser 4500DT,9.00,B/W,600.00,Two-sided,
rpcc1,RPCC Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
rpcc2,RPCC Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
rpcc3c,RPCC Net-Print 3 Color,Xerox Phaser 8560DT,25.00,Color,600.00,Two-sided,
sage-205,SAGE 205-B/W,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-239-bw,SAGE 239-B/W,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-239-color,SAGE 239-Color,HP LaserJet 500 color M551,25.00,Color,600.00,Two-sided,
sage-301-bw,SAGE 301-B/W,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-basement-a,SAGE Basement-A,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-basement-b,SAGE Basement-B,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-lib1-bw,SAGE Lib1-B/W,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
sage-lib1-color,SAGE Lib1-Color,HP LaserJet 500 color M551,25.00,Color,600.00,Two-sided,
